family,s,p,|a|,|b|,a_params,b_params,discriminants
F1,s=1/2,11,11,10,"1/2;1/22;3/22;5/22;7/22;9/22;13/22;15/22;17/22;19/22;21/22","1/11;2/11;3/11;4/11;5/11;6/11;7/11;8/11;9/11;10/11","1;2;3;7;11;19;43;67;163"
F2,s=1/2,13,13,12,"1/2;1/26;3/26;5/26;7/26;9/26;11/26;15/26;17/26;19/26;21/26;23/26;25/26","1/13;2/13;3/13;4/13;5/13;6/13;7/13;8/13;9/13;10/13;11/13;12/13","1;2;3;7;11;19;43;67;163"
F3,s=1/2,17,17,16,"1/2;1/34;3/34;5/34;7/34;9/34;11/34;13/34;15/34;19/34;21/34;23/34;25/34;27/34;29/34;31/34;33/34","1/17;2/17;3/17;4/17;5/17;6/17;7/17;8/17;9/17;10/17;11/17;12/17;13/17;14/17;15/17;16/17","1;2;3;7;11;19;43;67;163"
F4,s=1/2,19,19,18,"1/2;1/38;3/38;5/38;7/38;9/38;11/38;13/38;15/38;17/38;21/38;23/38;25/38;27/38;29/38;31/38;33/38;35/38;37/38","1/19;2/19;3/19;4/19;5/19;6/19;7/19;8/19;9/19;10/19;11/19;12/19;13/19;14/19;15/19;16/19;17/19;18/19","1;2;3;7;11;19;43;67;163"
F5,s=1/3,11,22,10,"1/3;2/3;1/33;2/33;4/33;5/33;7/33;8/33;10/33;13/33;14/33;16/33;17/33;19/33;20/33;23/33;25/33;26/33;28/33;29/33;31/33;32/33","1/11;2/11;3/11;4/11;5/11;6/11;7/11;8/11;9/11;10/11","1;2;3;7;11;19;43;67;163"
F6,s=1/3,13,26,12,"1/3;2/3;1/39;2/39;4/39;5/39;7/39;8/39;10/39;11/39;14/39;16/39;17/39;19/39;20/39;22/39;23/39;25/39;28/39;29/39;31/39;32/39;34/39;35/39;37/39;38/39","1/13;2/13;3/13;4/13;5/13;6/13;7/13;8/13;9/13;10/13;11/13;12/13","1;2;3;7;11;19;43;67;163"
F7,s=1/3,17,34,16,"1/3;2/3;1/51;2/51;4/51;5/51;7/51;8/51;10/51;11/51;13/51;14/51;16/51;19/51;20/51;22/51;23/51;25/51;26/51;28/51;29/51;31/51;32/51;35/51;37/51;38/51;40/51;41/51;43/51;44/51;46/51;47/51;49/51;50/51","1/17;2/17;3/17;4/17;5/17;6/17;7/17;8/17;9/17;10/17;11/17;12/17;13/17;14/17;15/17;16/17","1;2;3;7;11;19;43;67;163"
F8,s=1/3,19,38,18,"1/3;2/3;1/57;2/57;4/57;5/57;7/57;8/57;10/57;11/57;13/57;14/57;16/57;17/57;20/57;22/57;23/57;25/57;26/57;28/57;29/57;31/57;32/57;34/57;35/57;37/57;40/57;41/57;43/57;44/57;46/57;47/57;49/57;50/57;52/57;53/57;55/57;56/57","1/19;2/19;3/19;4/19;5/19;6/19;7/19;8/19;9/19;10/19;11/19;12/19;13/19;14/19;15/19;16/19;17/19;18/19","1;2;3;7;11;19;43;67;163"
F9,s=1/4,11,22,10,"1/4;3/4;1/44;3/44;5/44;7/44;9/44;13/44;15/44;17/44;19/44;21/44;23/44;25/44;27/44;29/44;31/44;35/44;37/44;39/44;41/44;43/44","1/11;2/11;3/11;4/11;5/11;6/11;7/11;8/11;9/11;10/11","1;2;3;7;11;19;43;67;163"
F10,s=1/4,13,26,12,"1/4;3/4;1/52;3/52;5/52;7/52;9/52;11/52;15/52;17/52;19/52;21/52;23/52;25/52;27/52;29/52;31/52;33/52;35/52;37/52;41/52;43/52;45/52;47/52;49/52;51/52","1/13;2/13;3/13;4/13;5/13;6/13;7/13;8/13;9/13;10/13;11/13;12/13","1;2;3;7;11;19;43;67;163"
F11,s=1/4,17,34,16,"1/4;3/4;1/68;3/68;5/68;7/68;9/68;11/68;13/68;15/68;19/68;21/68;23/68;25/68;27/68;29/68;31/68;33/68;35/68;37/68;39/68;41/68;43/68;45/68;47/68;49/68;53/68;55/68;57/68;59/68;61/68;63/68;65/68;67/68","1/17;2/17;3/17;4/17;5/17;6/17;7/17;8/17;9/17;10/17;11/17;12/17;13/17;14/17;15/17;16/17","1;2;3;7;11;19;43;67;163"
F12,s=1/4,19,38,18,"1/4;3/4;1/76;3/76;5/76;7/76;9/76;11/76;13/76;15/76;17/76;21/76;23/76;25/76;27/76;29/76;31/76;33/76;35/76;37/76;39/76;41/76;43/76;45/76;47/76;49/76;51/76;53/76;55/76;59/76;61/76;63/76;65/76;67/76;69/76;71/76;73/76;75/76","1/19;2/19;3/19;4/19;5/19;6/19;7/19;8/19;9/19;10/19;11/19;12/19;13/19;14/19;15/19;16/19;17/19;18/19","1;2;3;7;11;19;43;67;163"
F13,s=1/6,11,22,10,"1/6;5/6;1/66;5/66;7/66;13/66;17/66;19/66;23/66;25/66;29/66;31/66;35/66;37/66;41/66;43/66;47/66;49/66;53/66;59/66;61/66;65/66","1/11;2/11;3/11;4/11;5/11;6/11;7/11;8/11;9/11;10/11","1;2;3;7;19;43;67;163"
F14,s=1/6,13,26,12,"1/6;5/6;1/78;5/78;7/78;11/78;17/78;19/78;23/78;25/78;29/78;31/78;35/78;37/78;41/78;43/78;47/78;49/78;53/78;55/78;59/78;61/78;67/78;71/78;73/78;77/78","1/13;2/13;3/13;4/13;5/13;6/13;7/13;8/13;9/13;10/13;11/13;12/13","1;2;3;7;11;19;43;67;163"
F15,s=1/6,17,34,16,"1/6;5/6;1/102;5/102;7/102;11/102;13/102;19/102;23/102;25/102;29/102;31/102;35/102;37/102;41/102;43/102;47/102;49/102;53/102;55/102;59/102;61/102;65/102;67/102;71/102;73/102;77/102;79/102;83/102;89/102;91/102;95/102;97/102;101/102","1/17;2/17;3/17;4/17;5/17;6/17;7/17;8/17;9/17;10/17;11/17;12/17;13/17;14/17;15/17;16/17","1;2;3;7;11;19;43;67;163"
F16,s=1/6,19,38,18,"1/6;5/6;1/114;5/114;7/114;11/114;13/114;17/114;23/114;25/114;29/114;31/114;35/114;37/114;41/114;43/114;47/114;49/114;53/114;55/114;59/114;61/114;65/114;67/114;71/114;73/114;77/114;79/114;83/114;85/114;89/114;91/114;97/114;101/114;103/114;107/114;109/114;113/114","1/19;2/19;3/19;4/19;5/19;6/19;7/19;8/19;9/19;10/19;11/19;12/19;13/19;14/19;15/19;16/19;17/19;18/19","1;2;3;7;11;19;43;67;163"
